100001_at	40.2	275.6	67.1	47.5	28.5	63.3	133.6	40.2	65.2	184.3	62.9	74	62	95.5	55.3	23	135.7	45.6	
100002_at	298.7	584.3	156.6	198.5	546.4	130.6	141.3	250.1	136.8	102.7	58.3	378.5	96.8	213.7	306	269.6	119.7	255.9	
100003_at	39.1	179.9	100.1	48.3	286.5	147.4	29.6	199.3	73	133.4	37.5	405.6	66.3	53.5	325.3	70.4	275.7	171.1	
100004_at	1399.8	1580.1	1222.1	1410.9	1409.8	1363.5	1180.8	1229.7	1481.6	1057.3	1385.4	1410.9	1548.9	1253	884.6	1720.8	1439.3	1023.5	
100005_at	1940.5	3434.5	1787.5	1673.6	3140.5	1572.2	2528.5	3766.7	3074.6	2784.2	2939	2423.3	2700.5	3339.6	2118.3	3154.2	3138.8	3083	
100006_at	1215.3	1416.5	1631.8	1271.4	2576.2	2751.9	2653.3	2810.3	1922.1	1006.4	965.8	699.1	695.4	917.9	1168.6	1221.1	1233.7	939.4	
100007_at	4887.4	3649.4	3773.3	4183.9	4690.6	3955.1	3862.3	3979.4	3829.7	4350.9	3837	4590.9	3797.8	3806.7	4371.8	4162.5	4279	4754.7	
100009_r_at	114	89.2	168.4	19.8	265.5	119	176.7	101.3	200.9	223.5	86.1	202.3	179.5	143.1	162.9	187	275.3	21	
100010_at	1316.6	817.8	1216.8	1085.7	1510.2	1418.8	1168.7	1605.5	1926.2	1212.1	1275.5	696.4	590.8	622.7	444.8	980.3	1351.8	1293.4	
100011_at	6181.2	6525	5937.1	5139.7	7512.5	8453	8085	5688.9	5462.6	3103.6	3004.7	3960.2	3593.9	4186.1	3057.6	3565.5	3442.6	3651.7	
100012_at	311.4	262.5	287.9	336.8	376	264.9	214.5	337.5	249.7	178.1	223.3	271.5	272.6	239.4	258.5	254.2	347.3	220.4	
100013_at	2439.8	2112.6	2821.1	2420.4	2614.4	2855.7	1899.1	3079.3	2435.3	4663.9	2727.2	3158.2	2958.8	3005.7	3414.6	5078.2	3962	2099.2	
100014_at	1893.3	1102.4	1272.8	1679.7	985.5	1338.1	1562	1341.7	1098.7	2372.5	1304.8	1448.3	1296.1	1252.7	1141.1	925.4	1084.3	1448.1	
100015_at	1610.3	1570.3	2100.9	1168.8	1540	1783.3	1615.3	1304.4	1139	1466.9	1638.3	1621.6	1473.7	2082.6	1667.5	1739.8	940.8	1838	
100016_at	1892.8	1285.9	1034.5	1587.5	1958.2	2818.6	3350.5	1905.5	1871.7	2489.3	1164.2	1860	1654.3	1122.7	1976.8	2358.6	2651.4	5182.9	
100017_at	319.1	590.2	407.7	532.8	523.5	491.7	467.6	583.2	421.4	265.6	102.9	678.6	514.1	566.4	530.1	479.2	744.6	377.1	
100018_at	353.9	352.9	763.7	720.2	474.5	584.3	1155.1	684.2	805.9	455	1053	786	1377	655.7	1677.5	1043.6	280.9	750.8	
100019_at	10916	7981.7	13459	15790.8	7622.7	17990.3	18506.3	10401.2	11042.3	56516.6	60993	45821.1	54561.8	46741.5	49483.7	53125.6	61822.5	72765.5	
100020_at	4842.1	3727	3427.2	4147.6	3321.4	3900.7	4800.4	4993.1	4485.1	4133	4366.2	4621.8	4248.4	4278.2	5986.7	3771.2	3377.7	3767.2	
100021_at	65.7	414.3	253.1	119.6	83.8	213.2	71.6	26.8	37.1	215.4	68.5	119.5	126.5	31.8	97.3	167.1	148.5	40.7	
100022_at	910	630.8	1091.5	560.3	1219.7	1989.3	1364.3	698.6	1201.4	800.2	950.2	1401.3	717.4	630.5	1160.6	708.1	738.3	737.3	
100023_at	1049.4	1275.5	491.9	1004.8	230.2	221.7	521.8	257.7	1351.4	243.4	345.3	281.7	210.7	218.6	335.9	386.8	254.9	371.5	
100024_at	553.6	696.3	1113.1	696.9	732.6	1006.2	1423.1	1337.7	875.4	1066.7	839.2	1060.9	996.6	570.6	392.7	334.5	501.1	405.8	
100026_at	3120.1	3959.4	2238.7	3394.7	2344.4	1866.2	3398.9	2435.7	2299	405.6	342.5	1010.2	995.2	989.9	1504.4	1524.9	2919.9	2314.2	
100027_s_at	4531.5	3974.2	5182.5	5268.5	6100.5	5412.3	4130.4	4385.7	4421.4	5826.1	5003.9	5877.3	4231.9	6028.3	5272.2	7692.9	8218.4	5960.7	
100028_r_at	776.1	284.4	305.5	633.2	511.4	517.3	512	1222.8	1014.4	935.1	1108.5	1383.9	494	524.3	1766.4	476.9	917	445.5	
100029_at	5658.3	5672.7	5222.6	5333.2	6955	5218.9	5355.9	8415.3	8367.7	7962.1	6335.1	6510.5	6848.2	6325.7	5765	7246.9	8621	6405.4	
100030_at	121.8	360.2	126.1	105.4	86.4	82.4	181.6	65.6	60.7	86.6	132.5	104.5	56.5	113.2	103.8	99.9	177.3	119.2	
100032_at	6141.9	5675.8	7657.5	6218.3	6260.6	8648.4	5631.9	4169.9	3560.5	3309.8	6064.7	4176.7	6112.8	6294	2918.9	4423.9	2703.9	3342.4	
100033_at	2183.7	2910.7	2078.8	2021.3	1028.8	1535.9	1938.9	1629.6	2290.3	1671.1	1597.1	1729.9	1886.7	1367.8	1387.6	959.4	871.7	1625.3	
100034_at	24	28.3	67.8	27.7	64.9	213.9	30.2	17.9	31.6	18.8	32.2	23.7	53.6	16.9	34.3	16.3	45.5	21.6	
100035_at	13.8	54.4	45.1	118.8	371.4	156	20.1	30.5	28.3	56.1	11.6	125.4	39.4	46.5	37.7	152.3	22.1	146	
100037_at	439.7	630.1	604.6	801.7	954.6	71.8	471.8	1196.2	1046.6	632.3	932.3	245.9	371.2	410.4	274.4	827.3	696.2	295.6	
100039_at	5636.5	6057.3	6338.2	6899.7	6628.5	8699.3	8822.4	7589.1	6624.1	11242.3	10732.7	10573.7	9218.4	8865.4	8192.5	8342.6	7601.7	10929.7	
100040_at	2363	2825.5	3206.3	2855.4	2988.7	3535.6	3684	1554.8	1613.1	3173	3542.2	2929.6	3770.3	2798.2	4296.9	4316.9	3710	4384.1	
100041_at	15444.8	16692.7	14441.1	12764.6	14063.7	13289.9	12035.5	10969.6	12638.4	12400.8	12323.9	15028.9	14870	13686.2	17138.2	16347.6	16939.3	16211.1	
100042_at	1402.1	1714.7	1417.4	1436	1361.8	1675.2	1450.3	1299.8	1322.3	1582.2	1488.8	1776.5	1842.1	1682.8	1951.1	1288.7	1683.1	2844.6	
100043_f_at	1025.1	833.7	486.8	1233.2	2499.9	1270.6	1142	1009.9	730.8	1379.3	828.4	1583.6	1103.9	1590.3	1229.1	1261.1	1005	1074.9	
